CODIGO_OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE
SNKN;RN0004;CURRAIS NOVOS;CURRAIS NOVOS;RN;6° 16' 51'' S;36° 32' 25'' W;367 m
SNKR;PI0012;CORRENTE;CORRENTE;PI;10° 27' 7'' S;45° 8' 11'' W;473 m
SNLI;MG0040;DOUTOR JOSÉ MOURÃO;ABAETÉ;MG;19° 9' 26'' S;45° 29' 45'' W;664 m
SNLN;ES0002;MUNICIPAL DE LINHARES;LINHARES;ES;19° 21' 19'' S;40° 4' 17'' W;42 m
SNLO;MG0037;SÃO LOURENÇO;SÃO LOURENÇO;MG;22° 5' 30'' S;45° 2' 43'' W;875 m
SNLT;PI0010;PAULISTANA;PAULISTANA;PI;8° 9' 59'' S;41° 9' 14'' W;360 m
SNMA;PA0019;MONTE ALEGRE;MONTE ALEGRE;PA;1° 59' 48'' S;54° 4' 17'' W;99 m
SNMH;GO0018;PIRENÓPOLIS;PIRENÓPOLIS;GO;15° 50' 53'' S;48° 58' 49'' W;785 m
SNMJ;BA0031;MARACÁS;MARACÁS;BA;13° 23' 10'' S;40° 27' 58'' W;962 m
SNMK;MG0017;MOCAMBINHO;JAÍBA;MG;15° 5' 35'' S;43° 58' 45'' W;450 m
SNMN;MG0075;MINAS NOVAS;MINAS NOVAS;MG;17° 14' 2'' S;42° 35' 2'' W;750 m
SNMR;BA0065;MARAÚ;MARAÚ;BA;14° 7' 2'' S;38° 59' 2'' W;20 m
SNMX;ES0003;SÃO MATEUS;SÃO MATEUS;ES;18° 43' 17'' S;39° 50' 1'' W;30 m
SNMZ;PA0020;PORTO DE MOZ;PORTO DE MOZ;PA;1° 44' 29'' S;52° 14' 9'' W;16 m
SNNE;MG0078;SEBASTIÃO CARLOS LEITE;SÃO JOÃO NEPOMUCENO;MG;21° 32' 32'' S;43° 1' 16'' W;403 m
SNNU;MG0041;NANUQUE;NANUQUE;MG;17° 49' 23'' S;40° 19' 47'' W;210 m
SNOB;CE0013;AERÓDROMO PÚBLICO DE SOBRAL;SOBRAL;CE;3° 40' 44'' S;40° 20' 12'' W;64 m
SNOE;PI0008;OEIRAS;OEIRAS;PI;7° 1' 8'' S;42° 10' 2'' W;250 m
SNOS;MG0024;MUNICIPAL JOSÉ FIGUEIREDO;PASSOS;MG;20° 44' 0'' S;46° 39' 35'' W;822 m
SNOU;AC0003;NOVO AERÓDROMO DE FEIJÓ;FEIJÓ;AC;8° 8' 29'' S;70° 20' 27'' W;168 m
SNOX;PA0014;ORIXIMINÁ;ORIXIMINÁ;PA;1° 42' 49'' S;55° 50' 9'' W;80 m
SNPA;MG0052;PARÁ DE MINAS;PARÁ DE MINAS;MG;19° 50' 33'' S;44° 36' 3'' W;839 m
SNPC;PI0009;PICOS;PICOS;PI;7° 3' 55'' S;41° 31' 10'' W;320 m
SNPD;MG0010;PATOS DE MINAS;PATOS DE MINAS;MG;18° 40' 20'' S;46° 29' 29'' W;851 m
SNPJ;MG0042;PATROCÍNIO;PATROCÍNIO;MG;18° 54' 33'' S;46° 58' 58'' W;985 m
SNPQ;PE0010;PESQUEIRA;PESQUEIRA;PE;8° 22' 27'' S;36° 38' 16'' W;630 m
SBCZ;AC0002;CRUZEIRO DO SUL;CRUZEIRO DO SUL;AC;7° 35' 58'' S;72° 46' 10'' W;194 m
SNPX;MG0028;PIRAPORA;PIRAPORA;MG;17° 18' 50'' S;44° 51' 31'' W;551 m
SNPY;MG0013;SÃO SEBASTIÃO DO PARAÍSO;SÃO SEBASTIÃO DO PARAÍSO;MG;20° 56' 54'' S;46° 58' 59'' W;950 m
SNQD;PB0006;SOUSA;SOUSA;PB;6° 47' 8'' S;38° 14' 2'' W;272 m
SNQG;PI0003;CANGAPARA;FLORIANO;PI;6° 50' 45'' S;43° 4' 39'' W;210 m
SNQU;BA0032;MUCUGÊ;MUCUGÊ;BA;13° 1' 54'' S;41° 26' 40'' W;1056 m
SNQV;MG0044;CURVELO;CURVELO;MG;18° 44' 58'' S;44° 27' 29'' W;672 m
SNQX;CE0010;QUIXADÁ;QUIXADÁ;CE;4° 58' 44'' S;38° 59' 16'' W;225 m
SNRD;BA0048;PRADO;PRADO;BA;17° 17' 49'' S;39° 16' 19'' W;27 m
SNRM;BA0022;REMANSO;REMANSO;BA;9° 34' 48'' S;42° 6' 57'' W;406 m
SNRP;MG0066;RIO PARANAÍBA;RIO PARANAÍBA;MG;19° 12' 45'' S;46° 14' 26'' W;1145 m
SNRU;PE0004;CARUARU;CARUARU;PE;8° 17' 4'' S;36° 0' 39'' W;576 m
SNRX;MA0009;RIACHÃO;RIACHÃO;MA;7° 21' 1'' S;46° 38' 2'' W;400 m
SNRZ;MG0049;OLIVEIRA;OLIVEIRA;MG;20° 42' 52'' S;44° 51' 55'' W;1015 m
SNSE;BA0056;SENTO SÉ;SENTO SÉ;BA;9° 45' 27'' S;41° 51' 18'' W;398 m
SNSG;PE0008;SALGUEIRO;SALGUEIRO;PE;8° 2' 48'' S;39° 8' 2'' W;469 m
SNSI;MG0076;SANTA MARIA DO SUAÇUÍ;SANTA MARIA DO SUAÇUÍ;MG;18° 11' 55'' S;42° 27' 58'' W;480 m
SNSM;PA0250;SALINÓPOLIS;SALINÓPOLIS;PA;0° 41' 47'' S;47° 20' 12'' W;36 m
SNSS;MG0029;SALINAS;SALINAS;MG;16° 12' 30'' S;42° 19' 19'' W;763 m
SNTF;BA0016;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA;17° 31' 28'' S;39° 40' 6'' W;105 m
SNTI;PA0016;ÓBIDOS;ÓBIDOS;PA;1° 52' 5'' S;55° 30' 52'' W;100 m
SNTM;MG0068;TURMALINA;TURMALINA;MG;17° 14' 2'' S;42° 44' 2'' W;882 m
SNTO;MG0048;JUSCELINO KUBITSCHECK;TEÓFILO OTONI;MG;17° 53' 27'' S;41° 30' 54'' W;480 m
SNTQ;BA0053;BURITIRAMA;BURITIRAMA;BA;10° 43' 18'' S;43° 39' 13'' W;499 m
SNTS;PB0005;BRIGADEIRO FIRMINO AYRES;PATOS;PB;7° 2' 16'' S;37° 15' 27'' W;265 m
SNUB;MG0058;UBÁ;UBÁ;MG;21° 7' 21'' S;42° 52' 56'' W;340 m
SNUC;RN0003;AÇU;AÇU;RN;5° 35' 42'' S;36° 57' 39'' W;111 m
SNUH;MG0054;PIUMHI;PIUMHI;MG;20° 26' 20'' S;45° 59' 32'' W;751 m
SNUI;MG0045;ARAÇUAÍ;ARAÇUAÍ;MG;16° 51' 7'' S;42° 2' 46'' W;328 m
