CODIGO_OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE
SSCD;MS0007;CHAPADÃO DO SUL;CHAPADÃO DO SUL;MS;18° 50' 21'' S;52° 29' 17'' W;817 m
SSCI;MS0012;COXIM;COXIM;MS;18° 28' 53'' S;54° 42' 57'' W;292 m
SSCK;SC0010;OLAVO CECCO RIGON;CONCÓRDIA;SC;27° 10' 50'' S;52° 3' 4'' W;751 m
SNPU;MG0073;COMANDANTE VIRGILIO BORIM;PARAGUAÇU;MG;21° 33' 41'' S;45° 45' 17'' W;898 m
SSCN;RS0019;CANELA;CANELA;RS;29° 22' 14'' S;50° 49' 56'' W;837 m
SSCP;PR0015;FRANCISCO LACERDA JÚNIOR;CORNÉLIO PROCÓPIO;PR;23° 9' 9'' S;50° 36' 9'' W;567 m
SSCR;PR0016;RUBEN BERTA;MARECHAL CÂNDIDO RONDON;PR;24° 30' 46'' S;54° 3' 14'' W;525 m
SSCT;PR0025;ENGENHEIRO GASTÃO DE MESQUITA FILHO;CIANORTE;PR;23° 41' 30'' S;52° 38' 32'' W;539 m
SSEE;RS0054;REGIONAL DO VALE DO TAQUARI;ESTRELA;RS;29° 27' 12'' S;51° 56' 3'' W;32 m
SSEP;RS0031;SÃO SEPÉ;SÃO SEPÉ;RS;30° 10' 56'' S;53° 34' 46'' W;153 m
SSER;RS0018;ERECHIM;ERECHIM;RS;27° 39' 36'' S;52° 16' 34'' W;761 m
SSEZ;RS0050;ESPUMOSO;ESPUMOSO;RS;28° 44' 17'' S;52° 51' 20'' W;390 m
SSFB;PR0021;PAULO ABDALA;FRANCISCO BELTRÃO;PR;26° 3' 32'' S;53° 3' 48'' W;640 m
SSFL;PI0006;JOÃO PEREIRA DOS SANTOS FILHO;FRONTEIRAS;PI;7° 6' 0'' S;40° 37' 42'' W;448 m
SSGA;RS0020;GARIBALDI;GARIBALDI;RS;29° 16' 6'' S;51° 31' 56'' W;680 m
SSGB;PR0035;MUNICIPAL DE GUARATUBA;GUARATUBA;PR;25° 52' 50'' S;48° 36' 44'' W;15 m
SSGW;PR0037;MANOEL RIBAS;GOIOERÊ;PR;24° 13' 11'' S;53° 2' 38'' W;491 m
SSGY;PR0023;GUAÍRA;GUAÍRA;PR;24° 4' 47'' S;54° 11' 17'' W;271 m
SSHZ;RS0037;WALTER BÜNDCHEN;HORIZONTINA;RS;27° 38' 18'' S;54° 20' 20'' W;310 m
SSIE;MS0002;TERUEL IPANEMA ESTÂNCIA;CAMPO GRANDE;MS;20° 36' 14'' S;54° 35' 43'' W;528 m
SSIJ;RS0032;IJUÍ;IJUÍ;RS;28° 22' 7'' S;53° 50' 47'' W;365 m
SSIQ;RS0045;ITAQUI;ITAQUI;RS;29° 10' 19'' S;56° 32' 18'' W;84 m
SSIR;RS0049;IBIRUBÁ;IBIRUBÁ;RS;28° 36' 15'' S;53° 4' 43'' W;457 m
SSJA;SC0014;SANTA TEREZINHA;JOAÇABA;SC;27° 10' 22'' S;51° 33' 6'' W;776 m
SSJI;MS0019;JARDIM;JARDIM;MS;21° 29' 34'' S;56° 9' 10'' W;321 m
SSJK;RS0028;JÚLIO DE CASTILHOS;JÚLIO DE CASTILHOS;RS;29° 9' 11'' S;53° 44' 36'' W;498 m
SSKG;MS0003;ESTÂNCIA SANTA MARIA;CAMPO GRANDE;MS;20° 30' 20'' S;54° 31' 29'' W;618 m
SSKK;RS0052;CAPÃO DA CANOA;CAPÃO DA CANOA;RS;29° 45' 49'' S;50° 2' 13'' W;10 m
SSKM;PR0017;CAMPO MOURÃO;CAMPO MOURÃO;PR;24° 0' 9'' S;52° 21' 25'' W;574 m
SSKS;RS0039;BRIGADEIRO NERO MOURA;CACHOEIRA DO SUL;RS;30° 0' 8'' S;52° 56' 25'' W;77 m
SSKU;SC0016;LAURO ANTÔNIO DA COSTA;CURITIBANOS;SC;27° 17' 14'' S;50° 36' 14'' W;978 m
SSKW;RO0004;CACOAL;CACOAL;RO;11° 29' 44'' S;61° 27' 3'' W;249 m
SSKZ;RS0009;CARAZINHO;CARAZINHO;RS;28° 19' 18'' S;52° 49' 0'' W;565 m
SSLG;RS0021;SÃO LUIZ GONZAGA;SÃO LUIZ GONZAGA;RS;28° 22' 35'' S;55° 2' 15'' W;200 m
SSLN;SC0018;LONTRAS;LONTRAS;SC;27° 9' 35'' S;49° 32' 34'' W;334 m
SSLO;PR0031;ATTILLIO ACCORSI;LOANDA;PR;22° 55' 4'' S;53° 8' 59'' W;470 m
SSLT;RS0022;GAUDÊNCIO MACHADO RAMOS;ALEGRETE;RS;29° 48' 45'' S;55° 53' 36'' W;125 m
SSMJ;MS0020;MARACAJU;MARACAJU;MS;21° 38' 2'' S;55° 8' 42'' W;390 m
SSMR;PR0026;MANOEL RIBAS;MANOEL RIBAS;PR;24° 31' 46'' S;51° 39' 6'' W;886 m
SSMT;RS0044;MOSTARDAS;MOSTARDAS;RS;31° 6' 15'' S;50° 54' 44'' W;18 m
SSNB;MS0015;ARIOSTO DA RIVA;NAVIRAÍ;MS;23° 2' 3'' S;54° 10' 40'' W;405 m
SSNG;RS0046;MONTENEGRO;MONTENEGRO;RS;29° 43' 11'' S;51° 29' 20'' W;24 m
SSNH;RS0023;NOVO HAMBURGO;NOVO HAMBURGO;RS;29° 41' 57'' S;51° 4' 55'' W;15 m
SSNP;RS0041;NOVA PRATA;NOVA PRATA;RS;28° 48' 9'' S;51° 36' 15'' W;690 m
SSNQ;MS0016;NIOAQUE;NIOAQUE;MS;21° 11' 5'' S;55° 49' 49'' W;300 m
SSOE;SC0015;HÉLIO WASUM;SÃO MIGUEL DO OESTE;SC;26° 46' 52'' S;53° 30' 12'' W;665 m
SSOG;PR0027;ARAPONGAS;ARAPONGAS;PR;23° 21' 21'' S;51° 29' 27'' W;792 m
SSOI;SP0043;PEDERNEIRAS;PEDERNEIRAS;SP;22° 18' 26'' S;48° 46' 23'' W;536 m
SSOL;MG0027;PADRE ISRAEL (ISRAEL BATISTA DE CARVALHO);LAVRAS;MG;21° 14' 26'' S;44° 57' 51'' W;959 m
SSOS;RS0042;OSÓRIO;OSÓRIO;RS;29° 54' 8'' S;50° 14' 57'' W;17 m
SBPO;PR0018;AEROPORTO REGIONAL DE PATO BRANCO - PROFESSOR JUVENAL LOUREIRO CARDOSO;PATO BRANCO;PR;26° 13' 2'' S;52° 41' 40'' W;823 m
SSPG;PR0011;SANTOS DUMONT;PARANAGUÁ;PR;25° 32' 26'' S;48° 31' 52'' W;5 m
SSPI;PR0010;EDU CHAVES;PARANAVAÍ;PR;23° 5' 24'' S;52° 29' 19'' W;474 m
SSPL;RS0043;PALMEIRA DAS MISSÕES;PALMEIRA DAS MISSÕES;RS;27° 54' 6'' S;53° 19' 44'' W;635 m
SSPM;MS0013;PORTO MURTINHO;PORTO MURTINHO;MS;21° 42' 46'' S;57° 52' 45'' W;81 m
SSPN;MS0010;PARANAÍBA;PARANAÍBA;MS;19° 39' 4'' S;51° 11' 58'' W;442 m
SSPS;PR0036;DIMORVAN CARRARO;PALMAS;PR;26° 28' 20'' S;51° 58' 32'' W;1100 m
SSPT;PR0028;BRASÍLIO MARQUES;PALOTINA;PR;24° 20' 36'' S;53° 49' 43'' W;373 m
SSQC;PR0029;AGUINALDO PEREIRA LIMA;SIQUEIRA CAMPOS;PR;23° 40' 28'' S;49° 49' 8'' W;705 m
SSQP;BA0061;MONTE SANTO;MONTE SANTO;BA;10° 27' 55'' S;39° 17' 10'' W;443 m
SSQT;PR0013;MAJOR NEODO S. PEREIRA;CASTRO;PR;24° 48' 27'' S;49° 57' 37'' W;1010 m
SSRE;PR0030;REALEZA;REALEZA;PR;25° 48' 4'' S;53° 30' 47'' W;501 m
SSRF;BA0034;CASTRO ALVES;CASTRO ALVES;BA;12° 45' 57'' S;39° 27' 4'' W;261 m
SSRG;SP0030;AEROPORTO ESTADUAL DE REGISTRO;REGISTRO;SP;24° 31' 54'' S;47° 50' 25'' W;25 m
SSRS;MA0008;BARREIRINHAS;BARREIRINHAS;MA;2° 45' 24'' S;42° 48' 16'' W;4 m
SSRU;RS0034;SÃO LOURENÇO DO SUL;SÃO LOURENÇO DO SUL;RS;31° 23' 5'' S;52° 1' 57'' W;27 m
SSRZ;RS0024;DÁRIO BRASIL CAPOANO DE OLIVEIRA;ROSÁRIO DO SUL;RS;30° 16' 39'' S;54° 55' 31'' W;102 m
SSSB;RS0014;SÃO BORJA;SÃO BORJA;RS;28° 39' 17'' S;56° 2' 5'' W;80 m
SSSC;RS0029;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS;29° 41' 3'' S;52° 24' 44'' W;199 m
SSSD;RS0017;SOLEDADE;SOLEDADE;RS;28° 51' 48'' S;52° 32' 26'' W;673 m
SSSG;RS0035;SÃO GABRIEL;SÃO GABRIEL;RS;30° 20' 42'' S;54° 16' 4'' W;145 m
SSSS;SC0022;SÃO FRANCISCO DO SUL;SÃO FRANCISCO DO SUL;SC;26° 13' 16'' S;48° 33' 52'' W;15 m
SSST;RS0015;SANTIAGO;SANTIAGO;RS;29° 12' 54'' S;54° 50' 32'' W;445 m
SSSZ;PR0033;SERTANÓPOLIS;SERTANÓPOLIS;PR;23° 3' 43'' S;51° 0' 50'' W;361 m
SSTB;SC0013;TRÊS BARRAS;TRÊS BARRAS;SC;26° 7' 58'' S;50° 18' 35'' W;780 m
SSUM;PR0019;ORLANDO DE CARVALHO;UMUARAMA;PR;23° 47' 57'' S;53° 18' 50'' W;473 m
SSUV;PR0034;JOSÉ CLETO;UNIÃO DA VITÓRIA;PR;26° 13' 54'' S;51° 4' 8'' W;752 m
SBVC;BA0005;GLAUBER DE ANDRADE ROCHA;VITÓRIA DA CONQUISTA;BA;14° 54' 28'' S;40° 54' 53'' W;896 m
SSVI;SC0011;ÂNGELO PONZONI;VIDEIRA;SC;26° 59' 59'' S;51° 8' 29'' W;840 m
SSVL;PR0007;TELÊMACO BORBA (SBTL*);TELÊMACO BORBA;PR;24° 18' 59'' S;50° 39' 8'' W;796 m
SSVN;RS0030;VERANÓPOLIS;VERANÓPOLIS;RS;28° 56' 8'' S;51° 34' 4'' W;676 m
SBJE;CE0003;COMANDANTE ARISTON PESSOA;CRUZ;CE;2° 54' 24'' S;40° 21' 29'' W;27 m
SSWS;RS0025;CAÇAPAVA DO SUL;CAÇAPAVA DO SUL;RS;30° 32' 58'' S;53° 27' 33'' W;400 m
SSXX;SC0017;MUNICIPAL JOÃO WINCKLER;XANXERÊ;SC;26° 52' 32'' S;52° 22' 23'' W;910 m
SSZR;RS0027;LUIS ALBERTO LEHR;SANTA ROSA;RS;27° 54' 32'' S;54° 31' 20'' W;309 m
SBPG;PR0012;COMANDANTE ANTÔNIO AMILTON BERALDO;PONTA GROSSA;PR;25° 11' 4'' S;50° 8' 38'' W;789 m
SWBC;AM0017;BARCELOS;BARCELOS;AM;0° 58' 51'' S;62° 55' 8'' W;34 m
SWBE;CE0006;WALFRIDO SALMITO DE ALMEIDA;SÃO BENEDITO;CE;4° 2' 34'' S;40° 53' 38'' W;884 m
SWBG;MT0009;ANDRÉ ANTÔNIO MAGGI;PONTES E LACERDA;MT;15° 11' 36'' S;59° 23' 7'' W;247 m
SWBR;AM0018;BORBA;BORBA;AM;4° 24' 31'' S;59° 35' 52'' W;90 m
SWCA;AM0007;CARAUARI;CARAUARI;AM;4° 52' 17'' S;66° 53' 51'' W;108 m
SWCB;GO0023;CAMPOS BELOS;CAMPOS BELOS;GO;13° 0' 25'' S;46° 42' 39'' W;690 m
SWCQ;RO0007;COSTA MARQUES;COSTA MARQUES;RO;12° 25' 18'' S;64° 15' 6'' W;169 m
SWCZ;GO0024;CERES;CERES;GO;15° 20' 41'' S;49° 36' 17'' W;598 m
SWDM;MT0015;DIAMANTINO;DIAMANTINO;MT;14° 22' 36'' S;56° 24' 2'' W;469 m
SWDN;TO0006;DIANÓPOLIS;DIANÓPOLIS;TO;11° 35' 43'' S;46° 50' 52'' W;730 m
SWEI;AM0009;EIRUNEPÉ;EIRUNEPÉ;AM;6° 38' 15'' S;69° 52' 59'' W;122 m
SWEK;MT0024;CANARANA;CANARANA;MT;13° 34' 39'' S;52° 16' 5'' W;398 m
SWFN;AM0002;FLORES;MANAUS;AM;3° 4' 22'' S;60° 1' 16'' W;62 m
SWFR;GO0014;FORMOSA;FORMOSA;GO;15° 33' 22'' S;47° 20' 43'' W;965 m
SWFX;MT0022;SÃO FÉLIX DO ARAGUAIA;SÃO FÉLIX DO ARAGUAIA;MT;11° 37' 55'' S;50° 41' 18'' W;198 m
SWGI;TO0004;GURUPI;GURUPI;TO;11° 44' 22'' S;49° 8' 0'' W;350 m
SWGN;TO0002;ARAGUAÍNA;ARAGUAÍNA;TO;7° 13' 42'' S;48° 14' 27'' W;235 m
SWHP;MT0006;FREDERICO CARLOS MÜLLER;ÁGUA BOA;MT;14° 1' 11'' S;52° 9' 7'' W;450 m
SWHT;AM0019;FRANCISCO CORREA DA CRUZ;HUMAITÁ;AM;7° 32' 1'' S;63° 3' 2'' W;70 m
SWII;AM0013;IPIRANGA;SANTO ANTÔNIO DO IÇÁ;AM;2° 56' 1'' S;69° 41' 41'' W;40 m
SWIQ;GO0019;MINAÇU;MINAÇU;GO;13° 33' 2'' S;48° 12' 2'' W;427 m
SWJN;MT0007;JUÍNA;JUÍNA;MT;11° 25' 10'' S;58° 42' 36'' W;330 m
SWJW;GO0008;JATAÍ;JATAÍ;GO;17° 49' 48'' S;51° 46' 31'' W;771 m
SWKC;MT0017;CÁCERES;CÁCERES;MT;16° 2' 34'' S;57° 37' 47'' W;150 m
SWKO;AM0010;COARI;COARI;AM;4° 8' 2'' S;63° 7' 52'' W;40 m
SWKQ;PI0004;SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO;SÃO RAIMUNDO NONATO;PI;9° 4' 58'' S;42° 38' 40'' W;415 m
SWKT;GO0015;CATALÃO;CATALÃO;GO;18° 13' 1'' S;47° 53' 58'' W;802 m
SWLB;AM0024;LÁBREA;LÁBREA;AM;7° 16' 44'' S;64° 46' 10'' W;74 m
SWLC;GO0009;GENERAL LEITE DE CASTRO;RIO VERDE;GO;17° 50' 5'' S;50° 57' 22'' W;751 m
SWME;GO0033;MINEIROS;MINEIROS;GO;17° 33' 7'' S;52° 33' 22'' W;825 m
SWMW;AM0020;MAUÉS;MAUÉS;AM;3° 21' 25'' S;57° 42' 44'' W;21 m
SWNH;GO0017;ARUANÃ;ARUANÃ;GO;14° 55' 59'' S;51° 2' 54'' W;250 m
SWNK;AM0011;NOVO CAMPO;BOCA DO ACRE;AM;8° 50' 5'' S;67° 18' 45'' W;120 m
SWNQ;GO0016;NIQUELÂNDIA;NIQUELÂNDIA;GO;14° 26' 11'' S;48° 29' 31'' W;840 m
SWNS;GO0004;ANÁPOLIS;ANÁPOLIS;GO;16° 21' 45'' S;48° 55' 41'' W;1112 m
SBNV;GO0002;AERÓDROMO NACIONAL DE AVIAÇÃO;GOIÂNIA;GO;16° 37' 32'' S;49° 20' 58'' W;833 m
SWOB;AM0014;FONTE BOA;FONTE BOA;AM;2° 32' 1'' S;66° 4' 2'' W;63 m
SWPG;MT0010;PORTO DOS GAÚCHOS;PORTO DOS GAÚCHOS;MT;11° 31' 1'' S;57° 20' 2'' W;400 m
SWPI;AM0006;PARINTINS;PARINTINS;AM;2° 40' 10'' S;56° 46' 16'' W;26 m
SWPK;MT0021;POCONÉ;POCONÉ;MT;16° 16' 18'' S;56° 39' 4'' W;187 m
SWPM;RO0009;PIMENTA BUENO;PIMENTA BUENO;RO;11° 38' 30'' S;61° 10' 52'' W;208 m
SWPR;GO0029;PIRES DO RIO;PIRES DO RIO;GO;17° 19' 9'' S;48° 20' 5'' W;781 m
SWPY;MT0023;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;MT;15° 33' 56'' S;54° 20' 16'' W;655 m
SWPZ;GO0010;OURIÇANGA DE ABREU;POSSE;GO;14° 7' 5'' S;46° 20' 43'' W;841 m
SWRO;RO0002;AEROCLUBE DE RONDÔNIA;PORTO VELHO;RO;8° 47' 37'' S;63° 51' 29'' W;113 m
SBSI;MT0002;PRESIDENTE JOÃO BATISTA FIGUEIREDO;SINOP;MT;11° 53' 6'' S;55° 35' 10'' W;374 m
SWTO;TO0008;PARAÍSO DO TOCANTINS;PARAÍSO DO TOCANTINS;TO;10° 10' 26'' S;48° 55' 58'' W;353 m
SWTP;AM0022;SANTA ISABEL DO RIO NEGRO;SANTA ISABEL DO RIO NEGRO;AM;0° 25' 1'' S;65° 2' 2'' W;68 m
SWTS;MT0012;TANGARÁ DA SERRA;TANGARÁ DA SERRA;MT;14° 39' 43'' S;57° 26' 38'' W;449 m
SWTY;TO0009;TAGUATINGA;TAGUATINGA;TO;12° 26' 2'' S;46° 24' 2'' W;597 m
SWUA;GO0011;SÃO MIGUEL DO ARAGUAIA;SÃO MIGUEL DO ARAGUAIA;GO;13° 20' 2'' S;50° 12' 21'' W;384 m
SWUD;MG0069;DEPUTADO OSWALDO TOLENTINO;CLÁUDIO;MG;20° 26' 45'' S;44° 48' 47'' W;820 m
SWUZ;GO0025;BRIGADEIRO ARARIPE MACEDO;LUZIÂNIA;GO;16° 15' 42'' S;47° 58' 7'' W;996 m
SWVC;MT0016;VILA RICA;VILA RICA;MT;9° 58' 52'' S;51° 8' 26'' W;254 m
SWWA;GO0012;PORANGATU;PORANGATU;GO;13° 24' 16'' S;49° 9' 26'' W;366 m
SWWU;GO0013;URUAÇU;URUAÇU;GO;14° 32' 41'' S;49° 5' 28'' W;520 m
SWXM;MT0014;REGIONAL ORLANDO VILLAS BOAS;MATUPÁ;MT;10° 10' 12'' S;54° 57' 14'' W;283 m
SWXQ;SP0015;LINS;LINS;SP;21° 39' 46'' S;49° 43' 52'' W;480 m
SWXV;MT0013;XAVANTINA;NOVA XAVANTINA;MT;14° 41' 27'' S;52° 20' 57'' W;316 m
SWYN;AM0023;APUÍ;APUÍ;AM;7° 10' 20'' S;59° 50' 20'' W;60 m
SBJH;SP1176;SÃO PAULO CATARINA AEROPORTO EXECUTIVO;SÃO ROQUE;SP;23° 25' 37'' S;47° 9' 57'' W;777 m
SJXI;MG0311;SANTA RITA DO SAPUCAÍ;SANTA RITA DO SAPUCAÍ;MG;22° 16' 22'' S;45° 38' 24'' W;882 m
SNCP;SC0181;REGIONAL DO PLANALTO SERRANO;CORREIA PINTO;SC;27° 38' 3'' S;50° 21' 30'' W;880 m
SBTC;BA0067;UNA/COMANDATUBA;UNA;BA;15° 21' 12'' S;38° 59' 50'' W;7 m
SDH2;MT0662;PORTO ALEGRE DO NORTE;PORTO ALEGRE DO NORTE;MT;10° 55' 5'' S;51° 36' 32'' W;217 m
SNOF;MG0057;OURO FINO;OURO FINO;MG;22° 17' 51'' S;46° 23' 36'' W;859 m
SDK7;MS0563;NOVA ANDRADINA;NOVA ANDRADINA;MS;22° 9' 45'' S;53° 19' 49'' W;419 m
