Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas;;;Outros;
CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;;;;Portaria nº 7.445/2022;"PORTARIA Nº 4601/2021
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
SDMH;SP0059;MIRASSOL;MIRASSOL;SP;20° 48' 26'' S;49° 29' 10'' W;584 m;VFR Diurno;-;-; 06/24;1000 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1992-0074;PA2014-0905;PA2014-3150;0;PD1992-0074;PA2014-0905;PA2014-3150;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2021-4897;PA2021-4897;;Suspensos os efeitos da Portaria 905/SIA, de 10/04/2014, pela decisão liminar deferida pelo juízo da 3ª Vara Federal de São José do Rio Preto - SP, nos autos do Processo judicial n.º 0002612-13.2014.4.03.6106,  proposta pela Associação Pró-Aeroporto de Mirassol (APROAMI), em face da União e outros.
SDMJ;SP0022;MOGI MIRIM;MOGI MIRIM;SP;22° 24' 39'' S;46° 54' 20'' W;695 m;VFR Diurno;-;-; 12/30;1500 m;30 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5744;0;0;0;PA2021-5744;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDMO;SP0068;MONTE ALTO;MONTE ALTO;SP;21° 15' 29'' S;48° 31' 27'' W;750 m;VFR Diurno;-;-; 17/35;850 m;20 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3475;0;0;0;PA2020-3475;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDNH;SP0060;NOVO HORIZONTE;NOVO HORIZONTE;SP;21° 29' 52'' S;49° 14' 4'' W;465 m;VFR Diurno;-;-; 13/31;1000 m;20 m;5700 kg / 0,5 MPa;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1523;0;0;0;PA2016-1523;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDNM;MT0047;BRIGADEIRO EDUARDO GOMES;NOVA MUTUM;MT;13° 49' 16'' S;56° 2' 19'' W;430 m;VFR Diurno;-;-; 05/23;1541 m;24 m;PCN 18/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6214;0;0;0;PA2021-6214;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SDNO;SP0061;NELSON GARÓFALO;SÃO MANUEL;SP;22° 41' 46'' S;48° 34' 34'' W;734 m;VFR Diurno/Noturno;-;-; 14/32;1000 m;20 m;PCN 13/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2976;0;0;0;PA2020-2976;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDOU;SP0023;JORNALISTA BENEDITO PIMENTEL;OURINHOS;SP;22° 58' 25'' S;49° 54' 41'' W;462 m;VFR Diurno/Noturno;-;-; 16/34;1500 m;30 m;PCN 15/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0978;0;0;0;PA2020-0978;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDOV;GO0005;MOZARLÂNDIA;MOZARLÂNDIA;GO;14° 46' 8'' S;50° 33' 54'' W;328 m;VFR Diurno;-;-; 17/35;1500 m;30 m;PCN 20/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0972;0;0;0;PA2020-0972;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-0927;PA2020-0927;;-
SDOW;PA0021;OURILÂNDIA DO NORTE;OURILÂNDIA DO NORTE;PA;6° 45' 44'' S;51° 3' 0'' W;229 m;VFR Diurno/Noturno;-;-; 14/32;1200 m;30 m;PCN 11/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0909;0;0;0;PA2015-0909;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2020-1041;PA2020-1041;X;-
SDPD;SP0072;PINDAMONHANGABA;PINDAMONHANGABA;SP;22° 56' 38'' S;45° 25' 55'' W;574 m;VFR Diurno;-;-; 06/24;750 m;30 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2410;0;0;0;PA2020-2410;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDPN;SP0024;PENÁPOLIS;PENÁPOLIS;SP;21° 24' 37'' S;50° 1' 55'' W;418 m;VFR Diurno/Noturno;-;-; 15/33;1500 m;30 m;PCN 27/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-0233;0;0;0;PA2014-0233;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDPV;SP0040;PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;SP;21° 53' 36'' S;51° 53' 4'' W;445 m;VFR Diurno;-;-; 14/32;1200 m;30 m;5700 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1924;0;0;0;PA2020-1924;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDPW;SP0041;PEDRO MORGANTI;PIRACICABA;SP;22° 42' 43'' S;47° 37' 5'' W;584 m;VFR Diurno/Noturno;-;-; 17/35;1200 m;30 m;PCN 21/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7000;0;0;0;PA2022-7000;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDPY;SP0066;PIRASSUNUNGA;PIRASSUNUNGA;SP;22° 1' 40'' S;47° 25' 18'' W;683 m;VFR Diurno;-;-; 02/20;860 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1953-0021;PA2020-1565;0;0;PD1953-0021;PA2020-1565;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDRK;SP0049;RIO CLARO;RIO CLARO;SP;22° 25' 54'' S;47° 33' 45'' W;600 m;VFR Diurno;-;-; 03/21;1047 m;40 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;4  -;quadrado;21 m x21 m;4,5 t;Grama;PA2018-1635;0;0;0;PA2018-1635;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDRR;SP0028;AVARÉ-ARANDU;AVARÉ;SP;23° 5' 32'' S;48° 59' 14'' W;798 m;VFR Diurno/Noturno;-;-; 15/33;1480 m;30 m;PCN 26/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7106;0;0;0;PA2022-7106;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDRS;RJ0007;RESENDE;RESENDE;RJ;22° 28' 43'' S;44° 28' 54'' W;402 m;VFR Diurno;-;-; 08/26;1300 m;30 m;PCN 13/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0973;0;0;0;PA2020-0973;;;;AP-0;Classe I;4ª;2C;NINST;7;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SDSC;SP0029;MÁRIO PEREIRA LOPES;SÃO CARLOS;SP;21° 52' 35'' S;47° 54' 12'' W;807 m;VFR Diurno/Noturno;RNS;INTL (restrito); 02/20;1720 m;45 m;PCN 47/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2564;0;0;0;PA2018-2564;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBSO;MT0005;REGIONAL DE SORRISO ADOLINO BEDIN;SORRISO;MT;12° 28' 22'' S;55° 40' 8'' W;386 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;1700 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0745;0;0;0;PA2016-0745;;;;AP-1;Classe I;-;3C;"NPA(05;23)";N/A;PA2020-1223;-;PA2020-1223;-;-;-;-;X;-
SDTB;SP0069;ATIBAIA;ATIBAIA;SP;23° 7' 42'' S;46° 34' 29'' W;797 m;VFR Diurno;-;-; 02/20;1057 m;30 m;5000 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1106;0;0;0;PA2014-1106;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDTF;SP0050;TATUÍ;TATUÍ;SP;23° 19' 55'' S;47° 52' 48'' W;635 m;VFR Diurno;-;-; 14/32;1300 m;30 m;PCN 28/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1084;0;0;0;PA2020-1084;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDTI;SP0073;TUPI PAULISTA;TUPI PAULISTA;SP;21° 23' 36'' S;51° 36' 3'' W;365 m;VFR Diurno;-;-; 06/24;750 m;23 m;5700 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1925;0;0;0;PA2020-1925;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDTK;RJ0011;PARATY;PARATY;RJ;23° 13' 26'' S;44° 43' 24'' W;3 m;VFR Diurno;-;-; 10/28;850 m;23 m;2500 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6994;0;0;0;PA2022-6994;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDTP;SP0025;JOSÉ VICENTE FARIA LIMA;TUPÃ;SP;21° 53' 24'' S;50° 30' 21'' W;550 m;VFR Diurno/Noturno;-;-; 06/24;1500 m;35 m;PCN 33/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0305;0;0;0;PA2018-0305;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDUB;SP0065;ESTADUAL GASTÃO MADEIRA;UBATUBA;SP;23° 26' 29'' S;45° 4' 34'' W;3 m;VFR Diurno;-;-; 09/27;940 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1019;0;0;0;PA2020-1019;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDUN;RJ0008;ITAPERUNA;ITAPERUNA;RJ;21° 13' 9'' S;41° 52' 33'' W;110 m;VFR Diurno;-;-; 06/24;1200 m;28 m;PCN 13/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1998-0052;PA2022-7428;0;0;PD1998-0052;PA2022-7428;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SDUQ;SP0042;PARAGUAÇU PAULISTA;PARAGUAÇU PAULISTA;SP;22° 25' 37'' S;50° 36' 25'' W;486 m;VFR Diurno;-;-; 05/23;1199 m;26 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6993;0;0;0;PA2022-6993;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2019-2858;PA2019-2858;;-
SDVE;SP0070;VERA CRUZ;VERA CRUZ;SP;22° 13' 49'' S;49° 49' 1'' W;640 m;VFR Diurno;-;-; 15/33;950 m;20 m;5600 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1028;0;0;0;PA2020-1028;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDVG;SP0026;DOMINGOS PIGNATARI;VOTUPORANGA;SP;20° 27' 26'' S;50° 0' 9'' W;508 m;VFR Diurno/Noturno;-;-; 05/23;1500 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3476;0;0;0;PA2020-3476;;;;AP-0;Classe I;4ª;3C;NINST;7;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SDWQ;PA0027;ALENQUER;ALENQUER;PA;1° 55' 1'' S;54° 43' 22'' W;31 m;VFR Diurno;-;-; 10/28;1000 m;23 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6798;0;0;0;PA2021-6798;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SDXF;GO0020;ALTO PARAÍSO DE GOIÁS;ALTO PARAÍSO DE GOIÁS;GO;14° 7' 9'' S;47° 31' 49'' W;1345 m;VFR Diurno;-;-; 09/27;1080 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1383;0;0;0;PA2018-1383;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDXJ;MS0017;COSTA RICA;COSTA RICA;MS;18° 29' 29'' S;53° 10' 6'' W;738 m;VFR Diurno;-;-; 09/27;1300 m;23 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2207;0;0;0;PA2015-2207;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SDZG;CE0008;PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ;TAUÁ;CE;5° 56' 0'' S;40° 17' 51'' W;444 m;VFR Diurno/Noturno;-;-; 09/27;1200 m;30 m;PCN 7/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1189;0;0;0;PA2020-1189;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SIBU;PB0012;JERÔNIMO SÉRGIO ROSADO MAIA;CATOLÉ DO ROCHA;PB;6° 21' 45'' S;37° 45' 19'' W;272 m;VFR Diurno;-;-; 11/29;1000 m;18 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4759;0;0;0;PA2021-4759;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SIBW;PB0008;CONCEIÇÃO;CONCEIÇÃO;PB;7° 33' 45'' S;38° 29' 51'' W;370 m;VFR Diurno;-;-; 08/26;1000 m;27 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2001-1493;0;0;0;PD2001-1493;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SIBY;PB0009;LOURIVAL NUNES DE FARIAS;MONTEIRO;PB;7° 52' 42'' S;37° 8' 12'' W;622 m;VFR Diurno;-;-; 14/32;1140 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4937;0;0;0;PA2021-4937;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SIBZ;PB0010;ITAPORANGA;ITAPORANGA;PB;7° 18' 40'' S;38° 6' 49'' W;292 m;VFR Diurno;-;-; 14/32;1195 m;24 m;PCN 8/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0027;0;0;0;PA2018-0027;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SICB;PB0007;PEDRO SIMÕES PIMENTA;CUITÉ;PB;6° 29' 15'' S;36° 8' 24'' W;652 m;VFR Diurno;-;-; 10/28;1150 m;30 m;5700 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2001-1494;0;0;0;PD2001-1494;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SILC;MT0025;AEROPORTO MUNICIPAL BOM FUTURO ;LUCAS DO RIO VERDE;MT;13° 2' 16'' S;55° 57' 1'' W;414 m;VFR Diurno/Noturno;-;-; 08/26;1730 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3497;0;0;0;PA2019-3497;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SIMK;SP0011;TENENTE LUND PRESSOTO;FRANCA;SP;20° 35' 25'' S;47° 22' 57'' W;1003 m;VFR Diurno/Noturno;-;-; 05/23;2000 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0034;0;0;0;PA2016-0034;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SIZX;MT0018;JUARA SUL;JUARA;MT;11° 17' 48'' S;57° 32' 56'' W;302 m;VFR Diurno;-;-; 11/29;1200 m;30 m;5700 kg / 0,5 MPa;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3950;0;0;0;PA2021-3950;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SJAU;TO0007;ARAGUACEMA;ARAGUACEMA;TO;8° 50' 16'' S;49° 33' 28'' W;207 m;VFR Diurno;-;-; 12/30;1400 m;30 m;PCN 6/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3952;0;0;0;PA2021-3952;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-2799;PA2020-2799;X;-
SJBY;MA0007;JOÃO SILVA;SANTA INÊS;MA;3° 39' 16'' S;45° 20' 43'' W;21 m;VFR Diurno;-;-; 06/24;1500 m;30 m;PCN 10/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1297;0;0;0;PA2020-1297;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso na pista 06.;PA2020-0251;PA2020-0251;X;-
SJGU;TO0005;ARAGUATINS;ARAGUATINS;TO;5° 41' 4'' S;48° 6' 56'' W;125 m;VFR Diurno/Noturno;-;-; 12/30;1500 m;30 m;PCN 8/F/B/Y/T;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2004-0056;0;0;0;PD2004-0056;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-1254;PA2020-1254;X;-
SBJA;SC0005;REGIONAL SUL;JAGUARUNA;SC;28° 40' 31'' S;49° 3' 37'' W;35 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;2499 m;30 m;PCN 57/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0252;0;0;0;PA2015-0252;;;;AP-1;Classe I;3ª;4C;NPA;6;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SJOG;RO0008;ARIQUEMES;ARIQUEMES;RO;9° 52' 50'' S;63° 2' 50'' W;142 m;VFR Diurno;-;-; 03/21;1306 m;18 m;PCN 25/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3473;0;0;0;PA2020-3473;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SJQN;GO0006;QUIRINÓPOLIS;QUIRINÓPOLIS;GO;18° 26' 46'' S;50° 24' 33'' W;586 m;VFR Diurno;-;-; 13/31;1500 m;30 m;PCN 10/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3471;0;0;0;PA2020-3471;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SJRG;RS0013;REGIONAL DE RIO GRANDE;RIO GRANDE;RS;32° 5' 0'' S;52° 10' 3'' W;8 m;VFR Diurno/Noturno;-;-; 06/24;1900 m;30 m;PCN 11/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1743;0;0;0;PA2020-1743;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SJTS;PA0028;TERRA SANTA;TERRA SANTA;PA;2° 4' 22'' S;56° 29' 20'' W;25 m;VFR Diurno;-;-; 12/30;1000 m;23 m;5700 kg / 0,5 MPa;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2004-1233;0;0;0;PD2004-1233;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2021-4424;PA2021-4424;X;-
SJVO;GO0030;ARAGARÇAS;ARAGARÇAS;GO;15° 53' 57'' S;52° 14' 43'' W;323 m;VFR Diurno;-;-; 10/28;1010 m;30 m;PCN 14/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2005-1223;0;0;0;PD2005-1223;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2020-1542;PA2020-1542;;-
SJZA;PB0004;PEDRO VIEIRA MOREIRA;CAJAZEIRAS;PB;6° 52' 58'' S;38° 36' 57'' W;335 m;VFR Diurno/Noturno;-;-; 12/30;1600 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-3365;0;0;0;PA2016-3365;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;Proibidas as operações de pouso de aeronaves a jato nas RWY 12 e 30.
SNAB;PE0009;ARARIPINA;ARARIPINA;PE;7° 35' 11'' S;40° 32' 7'' W;669 m;VFR Diurno;-;-; 13/31;1247 m;26 m;PCN 4/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3128;0;0;0;PA2018-3128;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa.;PA2021-6700;PA2021-6700;;-
SNAE;PE0007;ARCOVERDE;ARCOVERDE;PE;8° 24' 28'' S;37° 5' 18'' W;634 m;VFR Diurno/Noturno;-;-; 15/33;1300 m;28 m;PCN 6/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3679;0;0;0;PA2018-3679;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-3466;PA2020-3466;;-
SNAG;MG0020;ARAGUARI;ARAGUARI;MG;18° 40' 5'' S;48° 11' 25'' W;947 m;VFR Diurno;-;-; 05/23;1500 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2018-2443 / PA2018-2677 / PA2021-4562;PA2018-2443 / PA2018-2677 / PA2021-4562;;-
SNAL;AL0003;ARAPIRACA;ARAPIRACA;AL;9° 46' 35'' S;36° 37' 50'' W;270 m;VFR Diurno/Noturno;-;-; 10/28;930 m;18 m;PCN 13/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1073;0;0;0;PA2020-1073;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SNAP;MG0021;JANAÚBA;JANAÚBA;MG;15° 43' 55'' S;43° 19' 23'' W;532 m;VFR Diurno;-;-; 10/28;1500 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2974;0;0;0;PA2020-2974;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2021-5430;PA2021-5430;;-
SNAR;MG0033;CIRILO QUEIRÓZ;ALMENARA;MG;16° 11' 2'' S;40° 40' 2'' W;195 m;VFR Diurno/Noturno;-;-; 07/25;1400 m;30 m;PCN 8/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2005-0707;0;0;0;PD2005-0707;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações noturnas.;PA2021-4212;PA2021-4212;;-
SNAS;MG0022;TRÊS MARIAS;TRÊS MARIAS;MG;18° 13' 30'' S;45° 11' 26'' W;786 m;VFR Diurno;-;-; 06/24;1500 m;45 m;PCN 24/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4602;0;0;0;PA2021-4602;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SBAC;CE0004;AEROPORTO REGIONAL DE CANOA QUEBRADA DRAGÃO DO MAR;ARACATI;CE;4° 34' 7'' S;37° 48' 17'' W;36 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1800 m;30 m;PCN 36/F/A/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6019;0;0;0;PA2021-6019;;;;AP-1;Classe I;-;3C;NPA;N/A;PA2019-3971;-;PA2019-3971;-;-;-;-;;-
SNAX;SP0016;MARCELO PIRES HALZHAUSEN;ASSIS;SP;22° 38' 24'' S;50° 27' 11'' W;564 m;VFR Diurno/Noturno;-;-; 12/30;1689 m;30 m;PCN 25/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0460;0;0;0;PA2016-0460;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SNBA;SP0013;CHAFEI AMSEI (SBBT*);BARRETOS;SP;20° 35' 8'' S;48° 35' 45'' W;580 m;VFR Diurno/Noturno;-;-; 08/26;1800 m;30 m;PCN 32/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1562;0;0;0;PA2020-1562;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SNBC;MA0006;BARRA DO CORDA;BARRA DO CORDA;MA;5° 30' 9'' S;45° 12' 58'' W;155 m;VFR Diurno;-;-; 08/26;1560 m;30 m;PCN 13/F/B/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1088;0;0;0;PA2020-1088;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
